np,model,topo,radix,spread_mode,spread_avg,off-fail,on-fail,runs,min_steps,max_steps,steps_avg,min_in_spread,max_in_spread,in_spread_avg,min_out_spread,max_out_spread,out_spread_avg,min_msgs,max_msgs,msgs_avg,min_data,max_data,data_avg,min_queue,max_queue,queue_avg,min_dead,max_dead,dead_avg
512,0,3,16,0,0,0.00,0.00,1,106,106,106.00,0,0,0.00,25,25,25.00,2223,2223,2223.00,271520,271520,271520.00,15,15,15.00,0,0,0.00
512,0,3,17,0,0,0.00,0.00,1,104,104,104.00,0,0,0.00,24,24,24.00,1567,1567,1567.00,271427,271427,271427.00,13,13,13.00,0,0,0.00
512,0,3,18,0,0,0.00,0.00,1,100,100,100.00,0,0,0.00,21,21,21.00,1542,1542,1542.00,271416,271416,271416.00,10,10,10.00,0,0,0.00
512,0,3,19,0,0,0.00,0.00,1,96,96,96.00,0,0,0.00,17,17,17.00,1472,1472,1472.00,268665,268665,268665.00,13,13,13.00,0,0,0.00
512,0,3,20,0,0,0.00,0.00,1,100,100,100.00,0,0,0.00,18,18,18.00,1468,1468,1468.00,268544,268544,268544.00,16,16,16.00,0,0,0.00
1024,0,3,2,0,0,0.00,0.00,1,228,228,228.00,0,0,0.00,99,99,99.00,3070,3070,3070.00,1063424,1063424,1063424.00,2,2,2.00,0,0,0.00
1024,0,3,3,0,0,0.00,0.00,1,145,145,145.00,0,0,0.00,55,55,55.00,3073,3073,3073.00,1066326,1066326,1066326.00,3,3,3.00,0,0,0.00
1024,0,3,4,0,0,0.00,0.00,1,126,126,126.00,0,0,0.00,44,44,44.00,3075,3075,3075.00,1065984,1065984,1065984.00,3,3,3.00,0,0,0.00
1024,0,3,5,0,0,0.00,0.00,1,125,125,125.00,0,0,0.00,42,42,42.00,3081,3081,3081.00,1066800,1066800,1066800.00,4,4,4.00,0,0,0.00
1024,0,3,6,0,0,0.00,0.00,1,108,108,108.00,0,0,0.00,32,32,32.00,3089,3089,3089.00,1069286,1069286,1069286.00,5,5,5.00,0,0,0.00
1024,0,3,7,0,0,0.00,0.00,1,111,111,111.00,0,0,0.00,33,33,33.00,3096,3096,3096.00,1071329,1071329,1071329.00,6,6,6.00,0,0,0.00
1024,0,3,8,0,0,0.00,0.00,1,114,114,114.00,0,0,0.00,33,33,33.00,3087,3087,3087.00,1069312,1069312,1069312.00,7,7,7.00,0,0,0.00
1024,0,3,9,0,0,0.00,0.00,1,107,107,107.00,0,0,0.00,27,27,27.00,3080,3080,3080.00,1068072,1068072,1068072.00,7,7,7.00,0,0,0.00
1024,0,3,10,0,0,0.00,0.00,1,100,100,100.00,0,0,0.00,21,21,21.00,3071,3071,3071.00,1070134,1070134,1070134.00,10,10,10.00,0,0,0.00
1024,0,3,11,0,0,0.00,0.00,1,99,99,99.00,0,0,0.00,21,21,21.00,3060,3060,3060.00,1068316,1068316,1068316.00,9,9,9.00,0,0,0.00
1024,0,3,12,0,0,0.00,0.00,1,100,100,100.00,0,0,0.00,21,21,21.00,3047,3047,3047.00,1066896,1066896,1066896.00,11,11,11.00,0,0,0.00
1024,0,3,13,0,0,0.00,0.00,1,102,102,102.00,0,0,0.00,22,22,22.00,3045,3045,3045.00,1066821,1066821,1066821.00,12,12,12.00,0,0,0.00
1024,0,3,14,0,0,0.00,0.00,1,104,104,104.00,0,0,0.00,22,22,22.00,3043,3043,3043.00,1066992,1066992,1066992.00,12,12,12.00,0,0,0.00
1024,0,3,15,0,0,0.00,0.00,1,106,106,106.00,0,0,0.00,23,23,23.00,3041,3041,3041.00,1067328,1067328,1067328.00,13,13,13.00,0,0,0.00
1024,0,3,16,0,0,0.00,0.00,1,110,110,110.00,0,0,0.00,25,25,25.00,3039,3039,3039.00,1067712,1067712,1067712.00,15,15,15.00,0,0,0.00
1024,0,3,17,0,0,0.00,0.00,1,112,112,112.00,0,0,0.00,25,25,25.00,3037,3037,3037.00,1068303,1068303,1068303.00,15,15,15.00,0,0,0.00
1024,0,3,18,0,0,0.00,0.00,1,116,116,116.00,0,0,0.00,26,26,26.00,3035,3035,3035.00,1068868,1068868,1068868.00,16,16,16.00,0,0,0.00
1024,0,3,19,0,0,0.00,0.00,1,118,118,118.00,0,0,0.00,27,27,27.00,4908,4908,4908.00,1072610,1072610,1072610.00,17,17,17.00,0,0,0.00
1024,0,3,20,0,0,0.00,0.00,1,122,122,122.00,0,0,0.00,28,28,28.00,4783,4783,4783.00,1073036,1073036,1073036.00,18,18,18.00,0,0,0.00
2048,0,3,2,0,0,0.00,0.00,1,252,252,252.00,0,0,0.00,110,110,110.00,6142,6142,6142.00,4227072,4227072,4227072.00,2,2,2.00,0,0,0.00
2048,0,3,3,0,0,0.00,0.00,1,167,167,167.00,0,0,0.00,65,65,65.00,6145,6145,6145.00,4232781,4232781,4232781.00,2,2,2.00,0,0,0.00
2048,0,3,4,0,0,0.00,0.00,1,150,150,150.00,0,0,0.00,55,55,55.00,6147,6147,6147.00,4232192,4232192,4232192.00,3,3,3.00,0,0,0.00
2048,0,3,5,0,0,0.00,0.00,1,131,131,131.00,0,0,0.00,43,43,43.00,6153,6153,6153.00,4236044,4236044,4236044.00,4,4,4.00,0,0,0.00
2048,0,3,6,0,0,0.00,0.00,1,130,130,130.00,0,0,0.00,41,41,41.00,6161,6161,6161.00,4238434,4238434,4238434.00,5,5,5.00,0,0,0.00
2048,0,3,7,0,0,0.00,0.00,1,115,115,115.00,0,0,0.00,32,32,32.00,6164,6164,6164.00,4242475,4242475,4242475.00,6,6,6.00,0,0,0.00
2048,0,3,8,0,0,0.00,0.00,1,118,118,118.00,0,0,0.00,33,33,33.00,6159,6159,6159.00,4240384,4240384,4240384.00,7,7,7.00,0,0,0.00
2048,0,3,9,0,0,0.00,0.00,1,119,119,119.00,0,0,0.00,32,32,32.00,6152,6152,6152.00,4239924,4239924,4239924.00,8,8,8.00,0,0,0.00
2048,0,3,10,0,0,0.00,0.00,1,124,124,124.00,0,0,0.00,32,32,32.00,6143,6143,6143.00,4240094,4240094,4240094.00,9,9,9.00,0,0,0.00
2048,0,3,11,0,0,0.00,0.00,1,119,119,119.00,0,0,0.00,28,28,28.00,6140,6140,6140.00,4243804,4243804,4243804.00,10,10,10.00,0,0,0.00
2048,0,3,12,0,0,0.00,0.00,1,114,114,114.00,0,0,0.00,23,23,23.00,6119,6119,6119.00,4243180,4243180,4243180.00,11,11,11.00,0,0,0.00
2048,0,3,13,0,0,0.00,0.00,1,114,114,114.00,0,0,0.00,22,22,22.00,6091,6091,6091.00,4243040,4243040,4243040.00,12,12,12.00,0,0,0.00
2048,0,3,14,0,0,0.00,0.00,1,114,114,114.00,0,0,0.00,22,22,22.00,6115,6115,6115.00,4242026,4242026,4242026.00,12,12,12.00,0,0,0.00
2048,0,3,15,0,0,0.00,0.00,1,116,116,116.00,0,0,0.00,24,24,24.00,6113,6113,6113.00,4241263,4241263,4241263.00,14,14,14.00,0,0,0.00
2048,0,3,16,0,0,0.00,0.00,1,118,118,118.00,0,0,0.00,25,25,25.00,6111,6111,6111.00,4241024,4241024,4241024.00,15,15,15.00,0,0,0.00
2048,0,3,17,0,0,0.00,0.00,1,120,120,120.00,0,0,0.00,26,26,26.00,6109,6109,6109.00,4241183,4241183,4241183.00,16,16,16.00,0,0,0.00
2048,0,3,18,0,0,0.00,0.00,1,122,122,122.00,0,0,0.00,26,26,26.00,6107,6107,6107.00,4241686,4241686,4241686.00,16,16,16.00,0,0,0.00
2048,0,3,19,0,0,0.00,0.00,1,124,124,124.00,0,0,0.00,27,27,27.00,6105,6105,6105.00,4242391,4242391,4242391.00,17,17,17.00,0,0,0.00
2048,0,3,20,0,0,0.00,0.00,1,128,128,128.00,0,0,0.00,28,28,28.00,6103,6103,6103.00,4243224,4243224,4243224.00,18,18,18.00,0,0,0.00
